Year,Rank,Name
2014,34,Kevin Durant
2014,35,Jennifer Lopez
2014,36,Sandra Bullock
2014,37,James Patterson
2014,38,Pharrell Williams
2014,39,Glenn Beck
2014,40,Peyton Manning
2014,41,Mark Burnett
2014,42,Simon Cowell
2014,43,Novak Djokovic
2014,44,Phil Mickelson
2014,45,Jimmy Fallon
2014,46,Lionel Messi
2014,47,Avicii
2014,48,Bradley Cooper
2014,49,Peter Jackson
2014,50,Michael Bay
2014,51,Toby Keith
2014,52,Leonardo DiCaprio
2014,53,Matthew McConaughey
2014,54,Sofia Vergara
2014,55,Dwyane Wade
2014,56,Gisele Bundchen
2014,57,Tyler Perry
2014,58,Gordon Ramsay
2014,59,Rush Limbaugh
2014,60,Jon Stewart
2014,61,Mark Wahlberg
2014,62,Howard Stern
2014,63,Hugh Jackman
2014,64,Ashton Kutcher
2014,65,Maria Sharapova
2014,66,Vin Diesel
2014,67,Ben Affleck
2014,68,Joss Whedon
2014,69,Serena Williams
2014,70,Kenny Chesney
2014,71,J.J. Abrams
2014,72,Neil Patrick Harris
2014,73,Angelina Jolie
2014,74,Kevin Spacey
2014,75,Will Smith
2014,76,Scarlett Johansson
2014,77,Jennifer Aniston
2014,78,Dan Brown
2014,79,John Green
2014,80,Kim Kardashian
